tense,phrases
infinitivo,na
gerundio,na
participio,na
⊙ indicativo presente ⊙,[ahora mismo; en este momento; en estos días; actualmente; en general; por lo general; normalmente; generalmente; habitualmente;]
⇠ indicativo imperfecto ⇠,[cuando era joven; en mi infancia; era de noche; en el pasado; en aquel entonces; en aquellos tiempos; por aquel tiempo; antiguamente]
↧ indicativo pretérito ↧,[ayer; anteayer; el otro día; la semana pasada; el mes pasado; el año pasado; hace un momento; hace (x) días/semanas/años]
→ futuro →,[mañana; pasado mañana; el/la próximo(a) semana/mes/año; dentro de (x) días/semanas/años; el lunes/martes/etc que viene; más tarde; pronto; eventualmente]
◇ condicional ◇,[si yo/tú/etc fuera yo/tú/etc; si tuviera tiempo; si pudiera; en ese caso; de ser posible; con gusto; sería mejor que; dijo que; pensaba que; creía que; lo haría]
∿ subjuntivo presente ∿,[yo/tú/etc + (present) querer/esperar/desear/preferir + que; ojalá (que); yo/tú/etc + (present) alegrar/molestar/sentir/sorprender/temer/dudar/creer + que; en caso de que; para que; antes de que; a menos que; con tal de que; sin que]
↫ subjuntivo imperfecto ↫,[yo/tú/etc + (imperfecto) querer/esperar/desear/preferir + que; yo/tú/etc + (imperfecto) alegrar/molestar/sentir/sorprender/temer/dudar/creer + que; era + importante/necesario/una lástima/raro + que; si + (subjuntivo imperfecto) + entronces + (condicional)]
¡ imperativo affirmativo !,na
¡ imperativo negativo !,na
